Messstelle:                ;Steinach am Brenner
HZB-Nummer:                ;201566
HD-Nummer:                 ;
DBMS-Nummer:               ;7001053
Gewässer:                  ;Gschnitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km˛]: ;111,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.05.1937              ;1041,84
   12.06.1963              ;1039,76
   01.01.1979              ;1039,74
   01.01.1981              ;1039,75
   12.05.2009              ;1039,73
   19.04.2022              ;1039,69

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   12.06.1963              ;235950,26 - 217728,34
   19.04.2022              ;235951,57 - 217718,94

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.05.1937              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   12.06.1963    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   08.06.2005              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1964              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   30.04.2014              ;2161003320-1/OWF-WT/Hleiter-händische Messung
   30.04.2014              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2004              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.2004              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-W/ab Aug durch KW beeinflußt
   01.01.2004    31.12.2004;OWF-Q/ab Aug durch KW beeinflußt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Mrz,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Sep nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Sep nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2009    31.12.2009;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/vom 28. Feb bis 29. Mrz Brückensanierung
   01.01.2015    31.12.2015;OWF-Q/Im Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2018              ;OWF-W/JB 2018: Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/JB 2018: Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/JB 2018: Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mai,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2022    31.12.2022;OWF-Q/Im Jän,Feb,Okt nach ergänzten Wasserständen ermittelt
   01.01.2022    31.12.2022;OWF-WT/Im Jän,Feb,Mai,Jun,Sep nach ergänzten Wasserständen ermittelt
   01.01.2022    31.12.2022;OWF-W/vom 1. Feb bis 19. Apr durch Bauarbeiten beeinflusst
   01.01.2022    31.12.2022;OWF-Q/vom 1. Feb bis 19. Apr durch Bauarbeiten beeinflusst
   01.01.2023    31.12.2023;OWF-Q/Im Aug nach ergänzten Daten ermittelt
   01.01.2023    31.12.2023;OWF-WT/Im Feb,Apr Daten ergänzt

